Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
09-08-2016,4187.5496704931975,1994 4Runner,12735,23.24,33.01,5.19
11-08-2016,3578.7821330543557,1994 4Runner,12735,23.24,33.01,5.19
01-08-2017,4076.8529245319214,1994 4Runner,12735,23.24,33.01,5.19
03-10-2017,4278.925017297048,1994 4Runner,12735,23.24,33.01,5.19
05-10-2017,3777.782262099709,1994 4Runner,12735,23.24,33.01,5.19
07-10-2017,4159.083015600079,1994 4Runner,12735,23.24,33.01,5.19
09-09-2017,3768.0023487540034,1994 4Runner,12735,23.24,33.01,5.19
11-09-2017,4483.462464961458,1994 4Runner,12735,23.24,33.01,5.19
01-09-2018,4508.037117885348,1994 4Runner,12735,23.24,33.01,5.19
03-11-2018,4775.5750148424,1994 4Runner,12735,23.24,33.01,5.19
05-11-2018,4460.3352711597045,1994 4Runner,12735,23.24,33.01,5.19
07-11-2018,4264.037959439767,1994 4Runner,12735,23.24,33.01,5.19
09-10-2018,4878.980604013641,1994 4Runner,12735,23.24,33.01,5.19
11-10-2018,4338.047072200591,1994 4Runner,12735,23.24,33.01,5.19
01-10-2019,4415.111087257038,1994 4Runner,12735,23.24,33.01,5.19
03-12-2019,4854.826782463592,1994 4Runner,12735,23.24,33.01,5.19
05-12-2019,4671.213842546481,1994 4Runner,12735,23.24,33.01,5.19
07-12-2019,4809.765419708029,1994 4Runner,12735,23.24,33.01,5.19
09-11-2019,5357.340062664186,1994 4Runner,12735,23.24,33.01,5.19
11-11-2019,5127.34684321205,1994 4Runner,12735,23.24,33.01,5.19
01-11-2020,4772.234443832599,1994 4Runner,12735,23.24,33.01,5.19
03-12-2020,5982.697228329146,1994 4Runner,12735,23.24,33.01,5.19
05-12-2020,5691.536602815842,1994 4Runner,12735,23.24,33.01,5.19
07-12-2020,5650.081812300956,1994 4Runner,12735,23.24,33.01,5.19
09-11-2020,6188.827955583953,1994 4Runner,12735,23.24,33.01,5.19
11-11-2020,7028.357446420557,1994 4Runner,12735,23.24,33.01,5.19
01-11-2021,7943.317340500434,1994 4Runner,12735,23.24,33.01,5.19
03-13-2021,7768.996760219195,1994 4Runner,12735,23.24,33.01,5.19
05-13-2021,9790.537784308104,1994 4Runner,12735,23.24,33.01,5.19
07-13-2021,10308.29995300752,1994 4Runner,12735,23.24,33.01,5.19
09-12-2021,7646.2361842105265,1994 4Runner,12735,23.24,33.01,5.19
11-12-2021,8397.865151848591,1994 4Runner,12735,23.24,33.01,5.19
01-12-2022,7643.985970846036,1994 4Runner,12735,23.24,33.01,5.19
03-14-2022,9020.38597670251,1994 4Runner,12735,23.24,33.01,5.19
05-14-2022,7727.264115578556,1994 4Runner,12735,23.24,33.01,5.19
07-14-2022,7660.340544871795,1994 4Runner,12735,23.24,33.01,5.19
09-13-2022,7533.655825407609,1994 4Runner,12735,23.24,33.01,5.19
11-13-2022,8359.871707328926,1994 4Runner,12735,23.24,33.01,5.19
01-13-2023,11792.09569340796,1994 4Runner,12735,23.24,33.01,5.19
03-15-2023,11756.554793074325,1994 4Runner,12735,23.24,33.01,5.19
05-15-2023,6901.042315573771,1994 4Runner,12735,23.24,33.01,5.19
07-15-2023,6912.8393795543725,1994 4Runner,12735,23.24,33.01,5.19
09-14-2023,10563.498331132629,1994 4Runner,12735,23.24,33.01,5.19
11-14-2023,10519.021411092985,1994 4Runner,12735,23.24,33.01,5.19
01-14-2024,12712.304396531657,1994 4Runner,12735,23.24,33.01,5.19
03-15-2024,13371.812293046358,1994 4Runner,12735,23.24,33.01,5.19
05-15-2024,11890.595118613139,1994 4Runner,12735,23.24,33.01,5.19
07-15-2024,11258.598004743675,1994 4Runner,12735,23.24,33.01,5.19
09-14-2024,11349.035778006055,1994 4Runner,12735,23.24,33.01,5.19
11-14-2024,10439.455510496184,1994 4Runner,12735,23.24,33.01,5.19
01-14-2025,9289.036857578398,1994 4Runner,12735,23.24,33.01,5.19
03-16-2025,10075.44381932594,1994 4Runner,12735,23.24,33.01,5.19
11-02-2008,4170.830078125,1995 4Runner,7485,-3.32,15.9,-49.27
01-02-2009,4548.3431395237485,1995 4Runner,7485,-3.32,15.9,-49.27
03-04-2009,5098.150265860918,1995 4Runner,7485,-3.32,15.9,-49.27
05-04-2009,5252.697195104003,1995 4Runner,7485,-3.32,15.9,-49.27
07-04-2009,4809.2265625,1995 4Runner,7485,-3.32,15.9,-49.27
09-03-2009,5086.337524581053,1995 4Runner,7485,-3.32,15.9,-49.27
11-03-2009,5375.506138703395,1995 4Runner,7485,-3.32,15.9,-49.27
01-03-2010,5258.460459573817,1995 4Runner,7485,-3.32,15.9,-49.27
03-05-2010,5400.13041197311,1995 4Runner,7485,-3.32,15.9,-49.27
05-05-2010,5334.868983029239,1995 4Runner,7485,-3.32,15.9,-49.27
07-05-2010,5219.82761981548,1995 4Runner,7485,-3.32,15.9,-49.27
09-04-2010,5510.327358255968,1995 4Runner,7485,-3.32,15.9,-49.27
11-04-2010,5231.82604969071,1995 4Runner,7485,-3.32,15.9,-49.27
01-04-2011,4852.705619689177,1995 4Runner,7485,-3.32,15.9,-49.27
03-06-2011,5198.963141673404,1995 4Runner,7485,-3.32,15.9,-49.27
05-06-2011,5546.814117647059,1995 4Runner,7485,-3.32,15.9,-49.27
07-06-2011,5679.33891189759,1995 4Runner,7485,-3.32,15.9,-49.27
09-05-2011,5251.619041409652,1995 4Runner,7485,-3.32,15.9,-49.27
11-05-2011,4927.978156228463,1995 4Runner,7485,-3.32,15.9,-49.27
01-05-2012,4490.1390227153815,1995 4Runner,7485,-3.32,15.9,-49.27
03-06-2012,4312.239331705151,1995 4Runner,7485,-3.32,15.9,-49.27
05-06-2012,4312.350073541597,1995 4Runner,7485,-3.32,15.9,-49.27
07-06-2012,4622.932193785031,1995 4Runner,7485,-3.32,15.9,-49.27
09-05-2012,4459.452750441585,1995 4Runner,7485,-3.32,15.9,-49.27
11-05-2012,4356.21237081091,1995 4Runner,7485,-3.32,15.9,-49.27
01-05-2013,4165.043600299401,1995 4Runner,7485,-3.32,15.9,-49.27
03-07-2013,4082.4810884705753,1995 4Runner,7485,-3.32,15.9,-49.27
05-07-2013,4188.115132756563,1995 4Runner,7485,-3.32,15.9,-49.27
07-07-2013,4132.587702740492,1995 4Runner,7485,-3.32,15.9,-49.27
09-06-2013,3948.0417479031785,1995 4Runner,7485,-3.32,15.9,-49.27
11-06-2013,4145.455643414211,1995 4Runner,7485,-3.32,15.9,-49.27
01-06-2014,4219.435097771944,1995 4Runner,7485,-3.32,15.9,-49.27
03-08-2014,4102.861527330012,1995 4Runner,7485,-3.32,15.9,-49.27
